icd9code	icd9descr
001	Cholera
002	Typhoid and paratyphoid fevers
003	Other salmonella infections
004	Shigellosis
005	Other food poisoning (bacterial)
006	Amebiasis
007	Other protozoal intestinal diseases
008	Intestinal infections due to other organisms
009	Ill-defined intestinal infections
010	Primary tuberculous infection
011	Pulmonary tuberculosis
012	Other respiratory tuberculosis
013	Tuberculosis of meninges and central nervous system
014	Tuberculosis of intestines, peritoneum, and mesenteric glands
015	Tuberculosis of bones and joints
016	Tuberculosis of genitourinary system
017	Tuberculosis of other organs
018	Miliary tuberculosis
025	Melioidosis
024	Glanders
020	Plague
021	Tularemia
022	Anthrax
023	Brucellosis
026	Rat-bite fever
027	Other zoonotic bacterial diseases
037	Tetanus
035	Erysipelas
030	Leprosy
031	Diseases due to other mycobacteria
032	Diphtheria
033	Whooping cough
034	Streptococcal sore throat and scarlet fever
036	Meningococcal infection
038	Septicemia
039	Actinomycotic infections
040	Other bacterial diseases
041	Bacterial infection in conditions classified elsewhere and of unspecified site
042	Human immunodeficiency virus [HIV] disease
048	Other enterovirus diseases of central nervous system
045	Acute poliomyelitis
046	Slow virus infections and prion diseases of central nervous system
047	Meningitis due to enterovirus
049	Other non-arthropod-borne viral diseases of central nervous system
050	Smallpox
051	Cowpox and paravaccinia
052	Chickenpox
053	Herpes zoster
054	Herpes simplex
055	Measles
056	Rubella
057	Other viral exanthemata
058	Other human herpesvirus
059	Other poxvirus infections
064	Viral encephalitis transmitted by other and unspecified arthropods
061	Dengue
060	Yellow fever
062	Mosquito-borne viral encephalitis
063	Tick-borne viral encephalitis
065	Arthropod-borne hemorrhagic fever
066	Other arthropod-borne viral diseases
075	Infectious mononucleosis
071	Rabies
070	Viral hepatitis
072	Mumps
073	Ornithosis
074	Specific diseases due to Coxsackie virus
076	Trachoma
077	Other diseases of conjunctiva due to viruses and Chlamydiae
078	Other diseases due to viruses and Chlamydiae
079	Viral and chlamydial infection in conditions classified elsewhere and of unspecified site
080	Louse-borne [epidemic] typhus
081	Other typhus
082	Tick-borne rickettsioses
083	Other rickettsioses
084	Malaria
085	Leishmaniasis
086	Trypanosomiasis
087	Relapsing fever
088	Other arthropod-borne diseases
096	Late syphilis, latent
090	Congenital syphilis
091	Early syphilis, symptomatic
092	Early syphilis, latent
093	Cardiovascular syphilis
094	Neurosyphilis
095	Other forms of late syphilis, with symptoms
097	Other and unspecified syphilis
098	Gonococcal infections
099	Other venereal diseases
101	Vincent's angina
100	Leptospirosis
102	Yaws
103	Pinta
104	Other spirochetal infection
118	Opportunistic mycoses
110	Dermatophytosis
111	Dermatomycosis, other and unspecified
112	Candidiasis
114	Coccidioidomycosis
115	Histoplasmosis
116	Blastomycotic infection
117	Other mycoses
129	Intestinal parasitism, unspecified
124	Trichinosis
120	Schistosomiasis [bilharziasis]
121	Other trematode infections
122	Echinococcosis
123	Other cestode infection
125	Filarial infection and dracontiasis
126	Ancylostomiasis and necatoriasis
127	Other intestinal helminthiases
128	Other and unspecified helminthiases
135	Sarcoidosis
130	Toxoplasmosis
131	Trichomoniasis
132	Pediculosis and phthirus infestation
133	Acariasis
134	Other infestation
136	Other and unspecified infectious and parasitic diseases
138	Late effects of acute poliomyelitis
137	Late effects of tuberculosis
139	Late effects of other infectious and parasitic diseases
140	Malignant neoplasm of lip
141	Malignant neoplasm of tongue
142	Malignant neoplasm of major salivary glands
143	Malignant neoplasm of gum
144	Malignant neoplasm of floor of mouth
145	Malignant neoplasm of other and unspecified parts of mouth
146	Malignant neoplasm of oropharynx
147	Malignant neoplasm of nasopharynx
148	Malignant neoplasm of hypopharynx
149	Malignant neoplasm of other and ill-defined sites within the lip, oral cavity, and pharynx
150	Malignant neoplasm of esophagus
151	Malignant neoplasm of stomach
152	Malignant neoplasm of small intestine, including duodenum
153	Malignant neoplasm of colon
154	Malignant neoplasm of rectum, rectosigmoid junction, and anus
155	Malignant neoplasm of liver and intrahepatic bile ducts
156	Malignant neoplasm of gallbladder and extrahepatic bile ducts
157	Malignant neoplasm of pancreas
158	Malignant neoplasm of retroperitoneum and peritoneum
159	Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
160	Malignant neoplasm of nasal cavities, middle ear, and accessory sinuses
161	Malignant neoplasm of larynx
162	Malignant neoplasm of trachea, bronchus, and lung
163	Malignant neoplasm of pleura
164	Malignant neoplasm of thymus, heart, and mediastinum
165	Malignant neoplasm of other and ill-defined sites within the respiratory system and intrathoracic organs
170	Malignant neoplasm of bone and articular cartilage
171	Malignant neoplasm of connective and other soft tissue
172	Malignant melanoma of skin
173	Other malignant neoplasm of skin
174	Malignant neoplasm of female breast
