hpo	loincCounts
Increased anti-plant based food allergen IgE antibody level	230
Hyperglycemia	209
Hypoglycemia	208
Abnormal blood glucose concentration	208
Decreased circulating ACTH level	195
Abnormality of circulating adrenocorticotropin level	188
Increased anti-plant product IgE antibody level	184
Increased circulating ACTH level	177
Reduced C-peptide level	126
Increased C-peptide level	124
Abnormal C-peptide level	124
Elevated circulating luteinizing hormone level	99
Abnormal circulating luteinizing hormone level	99
Decreased circulating luteinizing hormone level	99
Increased anti-fungi IgE antibody level	90
Increased anti-seafood IgE antibody level	71
Increased anti-food allergen IgE antibody level	61
Increased serum lactate	54
Increased anti-animal protein IgE antibody level	52
Increased anti-feather IgE antibody level	48
Increased anti-nut food product IgE antibody level	47
Increased anti-insect IgE antibody level	43
Abnormality of circulating cortisol level	43
Decreased circulating cortisol level	43
Ketonuria	32
Increased anti-drug IgE antibody level	29
Increased anti-house dust mite IgE antibody level	29
Increased circulating cortisol level	28
Abnormal LDL cholesterol concentration	27
Abnormal circulating calcium concentration	27
Increased LDL cholesterol concentration	27
Hypercalcemia	26
Hypocalcemia	26
Abnormal serum bicarbonate concentration	26
Decreased serum bicarbonate concentration	26
Elevated serum bicarbonate concentration	26
Abnormal hematocrit	25
Reduced hematocrit	25
Increased hematocrit	25
Anti-ganglioside antibody positivity	24
Urine xenobiotic	22
Positive urine amphetamine test	22
Glycosuria	20
Autoimmune antibody positivity	20
Increased anti-dairy protein IgE antibody level	19
Decreased urinary urate	18
Abnormality of urinary uric acid concentration	18
Increased urinary urate	18
Increased anti-animal dander IgE antibody level	18
Positive urine benzodiazepines test	18
Acetylcholine receptor antibody positivity	17
Positive urine methadone test	16
Increased urine urobilinogen	16
Bilirubinuria	16
Increased VLDL cholesterol concentration	15
Blood xenobiotic	15
Pyuria	15
Abnormality of urine glucose concentration	15
Positive urine cocaine test	15
Decreased VLDL cholesterol concentration	15
Abnormality of urine homeostasis	14
Abnormal urine cytology	14
Positive urine barbiturate test	14
Positive urine cannabinoid test	14
Abnormality of reticulocytes	13
Decreased LDL cholesterol concentration	13
Hypergalactosemia	13
Abnormal VLDL cholesterol concentration	13
Reticulocytosis	13
Anti-thyroglobulin antibody positivity	13
Reticulocytopenia	13
Hematuria	13
Argininuria	12
Abnormal blood oxygen level	12
Positive methadone plasma/serum test	12
Hyperoxemia	12
Hypoxemia	12
Decreased serum iron	11
Increased serum iron	11
Abnormal serum iron concentration	11
Elevated plasma acylcarnitine levels	11
Increased urinary taurine	11
Abnormal blood carbon dioxide level	11
Hypercapnia	11
Hypocapnia	11
Increased HDL cholesterol concentration	10
Abnormal HDL cholesterol concentration	10
Abnormality of alkaline phosphatase activity	10
Increased anti-meat allergen IgE antibody level	10
Neutrophilia	10
Abnormal proportion of naive T cells	10
Reduced proportion of naive T cells	10
Elevated proportion of naive T cells	10
Abnormal neutrophil count	10
Abnormality of folate metabolism	10
Neutropenia	10
Decreased HDL cholesterol concentration	9
Abnormal systemic blood pressure	9
Abnormal hemoglobin	9
Anti-mitochondrial M2 antibody positivity	9
Hemoglobinuria	9
Proteinuria	8
Galactosuria	8
Urinary glycosaminoglycan excretion	8
Hyposthenuria	8
Reduced blood folate concentration	8
Positive blood acetaminophen test	8
Abnormal circulating hormone level	7
Lymphocytosis	7
Abnormality of acid-base homeostasis	7
Hypoammonemia	7
Hyaline casts	7
Lymphopenia	7
Increased stool urobilinogen concentration	7
Abnormal stool urobilinogen concentration	7
Positive blood barbiturate test	7
Hyperammonemia	7
Reduced lymphocyte surface expression of CD43	7
Abnormal lymphocyte count	7
Abnormal eosinophil morphology	7
Decreased circulating aldosterone level	6
Azotemia	6
Lupus anticoagulant	6
Abnormal CSF protein level	6
Abnormal CSF glucose level	6
Hyperglycorrhachia	6
Decreased eosinophil count	6
Abnormal basophil count	6
Increased troponin T level in blood	6
Increased basophil count	6
Hyperketonemia	6
Decreased basophil count	6
Increased cotinine level	6
Positive norpropoxyphene blood test	6
Increased anti-parasite IgE antibody level	6
Acidemia	6
Alkalemia	6
Hypoglycorrhachia	6
Increased blood folate concentration	6
Microscopic hematuria	6
Increased urinary mucus	6
Abnormal T cell subset distribution	6
Monocytopenia	6
Abnormal monocyte count	6
Monocytosis	6
Eosinophilia	6
Abnormal lymphocyte surface marker expression	6
Increased mean corpuscular volume	5
Abnormal circulating thyroxine level	5
Increased circulating thyroxine level	5
Decreased circulating thyroxine level	5
Increased urinary cortisol level	5
Decreased CSF protein	5
Reduced hemoglobin A	5
Decreased mean corpuscular volume	5
Abnormal mean corpuscular volume	5
Increased troponin I level in blood	5
Positive urine norpropoxyphene test	5
Nitrituria	5
Hyperamylasemia	5
Hypoamylasemia	5
Abnormal circulating amylase level	5
Abnormality of vitamin D metabolism	5
Increased anti-egg IgE antibody level	5
Low alkaline phosphatase of hepatic origin	5
Increased circulating IgD level	5
Abnormal IgD level	5
Abnormal IgG level	5
Increased CSF protein	5
Elevated alkaline phosphatase of hepatic origin	5
Positive plasma/serum cotinine test	5
Positive meconium barbiturate test	5
Plasma/serum xenobiotic	5
Reduced T cell CD40 expression	5
Aminoaciduria	4
Increased serum androstenedione	4
Hypercalciuria	4
Reduced blood urea nitrogen	4
Low serum calcifediol	4
Increased CSF lactate	4
Abnormal blood urea nitrogen concentration	4
Abnormal urine hormone level	4
