hpo,mappedTo,aggrgtdFrom,notSeverePatientNo(%),severePatientNo(%),pVal
Elevated erythrocyte sedimentation rate,1,1,65[1.4],49[15.5],1.68E-58
Elevated C-reactive protein level,1,1,121[2.6],63[19.9],6.53E-56
Hypoalbuminemia,1,1,112[2.4],57[18],1.90E-49
Lymphopenia,2,2,944[20.1],175[55.4],6.90E-48
Decreased mean platelet volume,1,1,763[16.2],136[43],5.26E-33
Hyperphosphatemia,1,1,304[6.5],71[22.5],3.35E-25
Neutrophilia,3,3,824[17.5],127[40.2],4.62E-23
Leukopenia,2,2,598[12.7],101[32],2.30E-21
Decreased serum complement C4,1,1,3[0.1],9[2.8],2.99E-20
Decreased serum complement C3,1,1,7[0.1],11[3.5],8.24E-20
Increased lactate dehydrogenase activity,1,1,157[3.3],43[13.6],6.02E-19
Elevated gamma-glutamyltransferase activity,1,1,135[2.9],39[12.3],2.02E-18
Monocytopenia,3,3,234[5],52[16.5],4.35E-17
Increased mean platelet volume,1,1,319[6.8],61[19.3],8.86E-16
Hyperproteinemia,1,1,142[3],36[11.4],2.20E-14
Leukocytosis,2,2,883[18.8],115[36.4],5.00E-14
Neutropenia,3,3,422[9],69[21.8],1.84E-13
Decreased mean corpuscular volume,2,1,301[6.4],55[17.4],3.59E-13
Hypomagnesemia,1,1,301[6.4],54[17.1],1.58E-12
Decreased glomerular filtration rate,3,3,433[9.2],68[21.5],3.00E-12
Hyperkalemia,2,2,240[5.1],45[14.2],2.48E-11
Decreased serum creatinine,1,1,865[18.4],107[33.9],2.54E-11
Hypoproteinemia,1,1,639[13.6],84[26.6],3.11E-10
Hypermagnesemia,1,1,283[6],47[14.9],1.57E-09
Prolonged prothrombin time,1,1,514[10.9],70[22.2],2.86E-09
Hypocalcemia,2,2,1064[22.6],117[37],7.33E-09
Hypercapnia,2,2,537[11.4],68[21.5],1.47E-07
Hypocapnia,2,2,487[10.3],63[19.9],2.08E-07
Hyperchloremia,1,1,736[15.6],85[26.9],2.44E-07
Elevated alkaline phosphatase,1,1,398[8.5],54[17.1],3.58E-07
Increased mean corpuscular volume,2,2,507[10.8],64[20.3],4.44E-07
Thrombocytopenia,1,1,731[15.5],81[25.6],3.42E-06
Hypochloremia,1,1,562[11.9],66[20.9],4.95E-06
Thrombocytosis,1,1,365[7.8],48[15.2],5.31E-06
Increased circulating thyroxine level,1,1,70[1.5],16[5.1],6.19E-06
Increased serum ferritin,3,1,50[1.1],13[4.1],8.29E-06
Low alkaline phosphatase,1,1,106[2.3],20[6.3],1.70E-05
Hypokalemia,2,2,628[13.3],70[22.2],1.72E-05
Elevated serum creatinine,1,1,458[9.7],55[17.4],2.00E-05
Hypophosphatemia,1,1,220[4.7],32[10.1],3.11E-05
Increased total bilirubin,1,1,283[6],38[12],3.93E-05
Hyponatremia,2,2,667[14.2],69[21.8],0.000264563
Decreased circulating thyroxine level,1,1,17[0.4],6[1.9],0.000485388
Hypercholesterolemia,1,1,447[9.5],49[15.5],0.000753647
Monocytosis,3,3,436[9.3],48[15.2],0.000785037
Hypoxemia,2,2,118[2.5],18[5.7],0.001362795
Hypernatremia,2,2,168[3.6],23[7.3],0.001444989
Increased hemoglobin,1,1,59[1.3],11[3.5],0.002510253
Hyperoxemia,2,2,197[4.2],25[7.9],0.002898181
Conjugated hyperbilirubinemia,1,1,106[2.3],16[5.1],0.003138537
Increased blood urea nitrogen,1,1,757[16.1],71[22.5],0.003934308
Hypertriglyceridemia,1,1,248[5.3],29[9.2],0.004814875
Reticulocytopenia,1,1,2[0],2[0.6],0.010118458
Decreased serum ferritin,3,1,19[0.4],5[1.6],0.011740573
Elevated serum creatine phosphokinase,1,1,134[2.8],17[5.4],0.017199882
Hypoglycemia,201,3,95[2],13[4.1],0.022258973
Hyperalbuminemia,1,1,4[0.1],2[0.6],0.058950187
Hypermagnesiuria,1,1,18[0.4],4[1.3],0.062591922
Increased basophil count,4,2,20[0.4],4[1.3],0.093517062
Increased CSF protein,5,1,22[0.5],4[1.3],0.13110354
Increased LDL cholesterol concentration,12,2,151[3.2],5[1.6],0.148407403
Eosinophilia,2,2,173[3.7],17[5.4],0.166035335
Hypocholesterolemia,1,1,7[0.1],2[0.6],0.199445489
Increased hematocrit,1,1,89[1.9],9[2.8],0.326608083
Hyperglycemia,201,6,804[17.1],47[14.9],0.34968097
Vitamin B12 deficiency,1,1,2[0],1[0.3],0.459072895
Lymphocytosis,2,2,47[1],5[1.6],0.480563695
Hypercalcemia,2,2,114[2.4],10[3.2],0.524564153
Reticulocytosis,1,1,16[0.3],2[0.6],0.720716959
Hyperglycorrhachia,6,1,10[0.2],0[0],0.866334177
IgM deficiency,1,1,23[0.5],1[0.3],0.993373884
Decreased CSF protein,5,1,1[0],0[0],1
Decreased serum insulin-like growth factor 1,1,1,1[0],0[0],1
Decreased VLDL cholesterol concentration,7,1,1[0],0[0],1
Increased serum insulin-like growth factor 1,1,1,1[0],0[0],1
Increased VLDL cholesterol concentration,7,1,4[0.1],0[0],1
Decreased lipoprotein lipase activity,1,1,51[1.1],3[0.9],1
Increased IgM level,1,1,2[0],0[0],1
Increased troponin I level in blood,5,1,127[2.7],9[2.8],1
Hypoglycorrhachia,6,1,10[0.2],1[0.3],1
Decreased LDL cholesterol conncentration,12,2,3[0.1],0[0],1
,,,,,
,,,,,
hpo,mappedTo,aggrgtdFrom,notSeverePatientNo(%),severePatientNo(%),pVal
Lymphopenia,2,2,328[10.9],121[35.1],1.95E-35
Leukocytosis,2,2,388[12.9],127[36.8],3.62E-31
Neutrophilia,3,3,366[12.1],121[35.1],5.41E-30
